epoch,runtime
0,96.48549175262451
1,46.11404609680176
2,45.978418827056885
3,45.988829374313354
4,45.79460835456848
5,45.91669678688049
6,46.029853105545044
7,45.87091660499573
8,46.281261920928955
9,45.969441413879395
10,45.924567461013794
11,46.21704936027527
12,45.96790885925293
13,45.89646124839783
14,45.95745253562927
15,45.73604989051819
16,45.86672353744507
17,46.049293756484985
18,46.03853893280029
19,45.97525978088379
20,47.5052125453949
21,45.79374647140503
22,45.81806993484497
23,46.052247762680054
24,45.7614266872406
25,45.93285298347473
26,46.015986919403076
27,45.99420881271362
28,45.88978123664856
29,45.79647493362427
